state,year,xit,xt,xi,treated,post,treatedpost,y
Alabama,1961,-3.114551182362249,0.9395243534477874,7.253318514,1,0,0,255.72053699025463
Alabama,1962,-2.1319446858370323,1.76982251051672,7.253318514,1,0,0,269.6709438712303
Alabama,1963,-2.0464087486265976,4.058708314149124,7.253318514,1,0,0,229.0069090933755
Alabama,1964,-1.5263997246920982,3.070508391424576,7.253318514,1,0,0,371.6646619326138
Alabama,1965,3.402274667886026,3.629287735160946,7.253318514,1,0,0,391.89450436104
Alabama,1966,9.255717062402944,5.715064986883281,7.253318514,1,0,0,484.2942357740875
Alabama,1967,-3.7127977482385113,4.960916205989203,7.253318514,1,0,0,499.9629988529055
Alabama,1968,10.95311281010578,3.734938765393466,7.253318514,1,0,0,636.9485687987798
Alabama,1969,18.356182957854298,4.813147148106474,7.253318514,1,0,0,913.1392562942516
Alabama,1970,24.40644660750222,5.554338029900042,7.253318514,1,0,0,880.9895530651339
Alabama,1971,21.164011986175726,7.724081797439462,7.253318514,1,0,0,964.5888315664424
Alabama,1972,19.08216527460044,7.359813827057364,7.253318514,1,0,0,1047.5415375016732
Alabama,1973,5.2787658608074794,7.9007714505940525,7.253318514,1,0,0,1160.3910382533604
Alabama,1974,13.28951714707339,8.110682715945119,7.253318514,1,0,0,1128.934806702062
Alabama,1975,16.006427742153697,7.944158865245925,7.253318514,1,0,0,1179.2597204468811
Alabama,1976,23.596136512505048,10.786913136803078,7.253318514,1,0,0,1488.0770037866807
Alabama,1977,19.91365516296845,9.99785047822924,7.253318514,1,0,0,1393.5789656742093
Alabama,1978,14.153069885652458,8.033382843370362,7.253318514,1,0,0,1431.2361471304262
Alabama,1979,33.15247885912729,11.201355901563684,7.253318514,1,0,0,1530.507300455572
Alabama,1980,29.688523056230785,10.527208592272066,7.253318514,1,0,0,1593.3874623148708
Alabama,1981,26.823509496245464,10.432176294013155,7.253318514,1,0,0,1722.1945883375286
Alabama,1982,33.960508764325056,11.782025085341704,7.253318514,1,0,0,1913.694792497997
