state,state_num,year,treated,post,treatedpost,y,xit,xt,xi
Alabama,1,1961,1,0,0,6.67997272220296,-4.145035556807842,0.9395243534477874,7.2533185139947545
Alabama,1,1962,1,0,0,12.7735938687062,-2.837322622272516,1.76982251051672,7.2533185139947545
Alabama,1,1963,1,0,0,18.7933267478383,-2.7234861558403853,4.058708314149124,7.2533185139947545
Alabama,1,1964,1,0,0,20.9195690233146,-2.031426283369571,3.070508391424576,7.2533185139947545
Alabama,1,1965,1,0,0,43.9545087255647,4.527955601525228,3.629287735160946,7.2533185139947545
Alabama,1,1966,1,0,0,69.2063501199701,12.318075408320908,5.715064986883281,7.2533185139947545
Alabama,1,1967,1,0,0,19.3421149796368,-4.941218744079951,4.960916205989203,7.2533185139947545
Alabama,1,1968,1,0,0,77.3123500447008,14.577073676850365,3.734938765393466,7.2533185139947545
Alabama,1,1969,1,0,0,111.565312272275,24.429533050687436,4.813147148106474,7.2533185139947545
Alabama,1,1970,1,0,0,139.329597189694,32.481594643983094,5.554338029900042,7.2533185139947545
Alabama,1,1971,1,0,0,128.855040527497,28.1663639705769,7.724081797439462,7.2533185139947545
Alabama,1,1972,1,0,0,124.774702291946,25.395714802192362,7.359813827057364,7.2533185139947545
Alabama,1,1973,1,0,0,68.3122805774344,7.02530506257882,7.9007714505940525,7.2533185139947545
Alabama,1,1974,1,0,0,106.639720236626,17.686503731059826,8.110682715945119,7.2533185139947545
Alabama,1,1975,1,0,0,117.225421332311,21.302334828988464,7.944158865245925,7.2533185139947545
Alabama,1,1976,1,0,0,153.439755965892,31.403184318018837,10.786913136803078,7.2533185139947545
Alabama,1,1977,1,0,0,140.184510805557,26.5023124949609,9.997850478229239,7.2533185139947545
Alabama,1,1978,1,0,0,116.527787424224,18.835772629532116,8.033382843370362,7.2533185139947545
Alabama,1,1979,1,0,0,196.45501307908,44.12135027531553,11.201355901563685,7.2533185139947545
Alabama,1,1980,1,0,0,184.157556077934,39.51130563982271,10.527208592272066,7.2533185139947545
Alabama,1,1981,1,0,0,176.647254528075,35.69837004122752,10.432176294013155,7.2533185139947545
Alabama,1,1982,1,0,0,205.00931987048,45.19672598497668,11.782025085341704,7.2533185139947545
Alabama,1,1983,1,0,0,150.950770396928,26.23600487966594,11.47399555169276,7.2533185139947545
Alabama,1,1984,1,0,0,208.17058123054,43.93136832541424,12.27110877070886,7.2533185139947545
Alabama,1,1985,1,0,0,188.367318132737,36.01740667074034,12.874960732150743,7.2533185139947545
Alabama,1,1986,1,0,0,223.073607098835,47.33372965194392,12.313306689257587,7.2533185139947545
Alabama,1,1987,1,0,0,215.145816268328,42.95277714224138,15.337787044494524,7.2533185139947545
Alabama,1,1988,1,0,0,237.773877071793,50.14310633016939,15.153373117836516,7.2533185139947545
Alabama,1,1989,1,0,0,258.145374685252,57.404022737486876,14.361863062988052,7.2533185139947545
Alabama,1,1990,1,0,0,238.232538351216,48.3276246431578,17.253814921069928,7.2533185139947545
Alabama,1,1991,1,0,0,270.287742889518,58.0640287721151,16.926464221476813,7.2533185139947545
Alabama,1,1992,1,0,0,222.873622548785,41.92615971024942,16.70492851700773,7.2533185139947545
Alabama,1,1993,1,0,0,241.167927069707,47.29069011741823,18.39512566104502,7.2533185139947545
Alabama,1,1994,1,0,0,303.77541669999,66.92668821316553,18.87813348753304,7.2533185139947545
Alabama,1,1995,1,0,0,280.319920379735,59.34982853282507,19.321581081637486,7.2533185139947545
Alabama,1,1996,1,0,0,232.873782269893,41.412989807450515,19.68864025410009,7.2533185139947545
Alabama,1,1997,1,0,0,254.690629802807,48.558289676424344,20.05391765353759,7.2533185139947545
Alabama,1,1998,1,0,0,290.511943265688,59.525455297643646,19.938088289423277,7.2533185139947545
Alabama,1,1999,1,0,0,325.871343524032,69.71471795046811,20.194037336260084,7.2533185139947545
Alabama,1,2000,1,1,1,354.517190966404,63.53900272285649,20.61952899898762,7.2533185139947545
Alabama,1,2001,1,1,1,379.705611586911,70.9890838493157,20.805293021079486,7.2533185139947545
Alabama,1,2002,1,1,1,397.910718758363,75.29160272450991,21.7920827219804,7.2533185139947545
Alabama,1,2003,1,1,1,420.430711889533,82.62888507060534,21.234603648431737,7.2533185139947545
Alabama,1,2004,1,1,1,391.144934738829,71.24514482979785,25.16895596533851,7.2533185139947545
Alabama,1,2005,1,1,1,395.607449713254,71.98528009082075,24.70796199830499,7.2533185139947545
Alabama,1,2006,1,1,1,358.954933456308,59.90793590843191,22.87689141679665,7.2533185139947545
Alabama,1,2007,1,1,1,411.810681431141,76.42047103226376,24.097115164700924,7.2533185139947545
Alabama,1,2008,1,1,1,403.210581852553,72.62992714925703,24.533344646376783,7.2533185139947545
Alabama,1,2009,1,1,1,406.613077019415,71.00358823588135,26.279965118336317,7.2533185139947545
Alabama,1,2010,1,1,1,429.5335093533,79.0009802242648,25.91663093352817,7.2533185139947545
Alaska,2,1961,1,0,0,20.5557255364122,0.5040333335764994,0.9395243534477874,6.971453244651297
Alaska,2,1962,1,0,0,22.774903891183,0.34501638409041246,1.76982251051672,6.971453244651297
Alaska,2,1963,1,0,0,26.5127034347367,0.3311739518912196,4.058708314149124,6.971453244651297
Alaska,2,1964,1,0,0,25.6884535664315,0.24701997063451256,3.070508391424576,6.971453244651297
Alaska,2,1965,1,0,0,27.5567615930826,-0.5505961347846035,3.629287735160946,6.971453244651297
Alaska,2,1966,1,0,0,28.7061913159905,-1.4978690836814248,5.715064986883281,6.971453244651297
Alaska,2,1967,1,0,0,35.0623102012261,0.6008486348009293,4.960916205989203,6.971453244651297
Alaska,2,1968,1,0,0,27.0777815911604,-1.7725616435462923,3.734938765393466,6.971453244651297
Alaska,2,1969,1,0,0,28.9618128286086,-2.970613596072002,4.813147148106474,6.971453244651297
Alaska,2,1970,1,0,0,29.5155535578506,-3.949738477248566,5.554338029900042,6.971453244651297
Alaska,2,1971,1,0,0,34.21717117935,-3.4250095402684684,7.724081797439462,6.971453244651297
Alaska,2,1972,1,0,0,37.2263718469485,-3.0881006000741698,7.359813827057364,6.971453244651297
Alaska,2,1973,1,0,0,47.1481576277444,-0.8542720277194514,7.9007714505940525,6.971453244651297
Alaska,2,1974,1,0,0,45.3276154236599,-2.1506660950683245,8.110682715945119,6.971453244651297
Alaska,2,1975,1,0,0,47.5079609875116,-2.590348548200785,7.944158865245925,6.971453244651297
Alaska,2,1976,1,0,0,44.7710486357107,-3.818604559551203,10.786913136803078,6.971453244651297
Alaska,2,1977,1,0,0,49.7228380843119,-3.222662081241229,9.997850478229239,6.971453244651297
Alaska,2,1978,1,0,0,51.5864409369243,-2.290416364066954,8.033382843370362,6.971453244651297
Alaska,2,1979,1,0,0,46.7738477656999,-5.365124365372154,11.201355901563685,6.971453244651297
Alaska,2,1980,1,0,0,52.3765456517209,-4.804546263274193,10.527208592272066,6.971453244651297
Alaska,2,1981,1,0,0,53.8523483218543,-4.34089604504724,10.432176294013155,6.971453244651297
Alaska,2,1982,1,0,0,54.4057683894686,-5.49588927591616,11.782025085341704,6.971453244651297
Alaska,2,1983,1,0,0,63.9995320772357,-3.1902792673294234,11.47399555169276,6.971453244651297
Alaska,2,1984,1,0,0,59.9076341606428,-5.342022697312676,12.27110877070886,6.971453244651297
Alaska,2,1985,1,0,0,66.4449907383882,-4.379690669050465,12.874960732150743,6.971453244651297
Alaska,2,1986,1,0,0,63.0757759392332,-5.755747380235103,12.313306689257587,6.971453244651297
Alaska,2,1987,1,0,0,69.8151770381577,-5.223026715371561,15.337787044494524,6.971453244651297
Alaska,2,1988,1,0,0,67.6162348736036,-6.097365557688944,15.153373117836516,6.971453244651297
Alaska,2,1989,1,0,0,64.8115896020157,-6.980287754964125,14.361863062988052,6.971453244651297
Alaska,2,1990,1,0,0,77.3799068725091,-5.876604294194199,17.253814921069928,6.971453244651297
Alaska,2,1991,1,0,0,74.2513753821478,-7.060544012662058,16.926464221476813,6.971453244651297
Alaska,2,1992,1,0,0,79.746784073164,-5.0981907762190515,16.70492851700773,6.971453244651297
Alaska,2,1993,1,0,0,83.4585720197904,-5.750513803884489,18.39512566104502,6.971453244651297
Alaska,2,1994,1,0,0,78.0916513747685,-8.138237007379347,18.87813348753304,6.971453244651297
Alaska,2,1995,1,0,0,80.0043060019707,-7.216896336018632,19.321581081637486,6.971453244651297
Alaska,2,1996,1,0,0,91.5101474809023,-5.035789686227424,19.68864025410009,6.971453244651297
Alaska,2,1997,1,0,0,90.5035115635771,-5.9046529958430725,20.05391765353759,6.971453244651297
Alaska,2,1998,1,0,0,91.8431703058796,-7.238252423927545,19.938088289423277,6.971453244651297
Alaska,2,1999,1,0,0,91.0479821896635,-8.477259412216144,20.194037336260084,6.971453244651297
Alaska,2,2000,1,1,1,141.244303212842,-7.726296895554544,20.61952899898762,6.971453244651297
Alaska,2,2001,1,1,1,142.516720451867,-8.632221386218372,20.805293021079486,6.971453244651297
Alaska,2,2002,1,1,1,144.075233741863,-9.155404577705886,21.7920827219804,6.971453244651297
Alaska,2,2003,1,1,1,141.417469868011,-10.047612818047869,21.234603648431737,6.971453244651297
Alaska,2,2004,1,1,1,152.034420893716,-8.663358216728621,25.16895596533851,6.971453244651297
Alaska,2,2005,1,1,1,152.191048968435,-8.753358130552805,24.70796199830499,6.971453244651297
Alaska,2,2006,1,1,1,159.131549062621,-7.284761790286865,22.87689141679665,6.971453244651297
Alaska,2,2007,1,1,1,153.667021089252,-9.29267414958966,24.097115164700924,6.971453244651297
Alaska,2,2008,1,1,1,160.135971961409,-8.831746747825404,24.533344646376783,6.971453244651297
Alaska,2,2009,1,1,1,166.959428740755,-8.63398510916163,26.279965118336317,6.971453244651297
Alaska,2,2010,1,1,1,162.540680934318,-9.606462205818238,25.91663093352817,6.971453244651297
Arizona,3,1961,1,0,0,9.83268323206446,-1.9157539926298144,0.9395243534477874,6.9571295427086834
Arizona,3,1962,1,0,0,17.4891644435897,-1.3113547682528253,1.76982251051672,6.9571295427086834
Arizona,3,1963,1,0,0,21.9339021986942,-1.2587417901286584,4.058708314149124,6.9571295427086834
Arizona,3,1964,1,0,0,21.7448176561658,-0.9388853146764008,3.070508391424576,6.9571295427086834
Arizona,3,1965,1,0,0,34.7258232304665,2.092732113678856,3.629287735160946,6.9571295427086834
Arizona,3,1966,1,0,0,49.2107123972697,5.693172427977776,5.715064986883281,6.9571295427086834
Arizona,3,1967,1,0,0,27.6343942152555,-2.2837342183666296,4.960916205989203,6.9571295427086834
Arizona,3,1968,1,0,0,54.1065221111377,6.73723704285697,3.734938765393466,6.9571295427086834
Arizona,3,1969,1,0,0,72.3638555969552,11.290850184160698,4.813147148106474,6.9571295427086834
Arizona,3,1970,1,0,0,86.9204506265368,15.01235484554338,5.554338029900042,6.9571295427086834
Arizona,3,1971,1,0,0,84.3555354327024,13.017940014018256,7.724081797439462,6.9571295427086834
Arizona,3,1972,1,0,0,83.8498260177097,11.737400406151338,7.359813827057364,6.9571295427086834
Arizona,3,1973,1,0,0,59.279342779263,3.2469579666145556,7.9007714505940525,6.9571295427086834
Arizona,3,1974,1,0,0,75.8391213766696,8.174354519779754,8.110682715945119,6.9571295427086834
Arizona,3,1975,1,0,0,81.0404089285163,9.84552060933351,7.944158865245925,6.9571295427086834
Arizona,3,1976,1,0,0,101.950728969742,14.513934781506515,10.786913136803078,6.9571295427086834
Arizona,3,1977,1,0,0,96.3449643543848,12.248848117299294,9.997850478229239,6.9571295427086834
Arizona,3,1978,1,0,0,84.6432356809777,8.705524023799434,8.033382843370362,6.9571295427086834
Arizona,3,1979,1,0,0,125.385335898672,20.392021200235213,11.201355901563685,6.9571295427086834
Arizona,3,1980,1,0,0,120.58713733167,18.261349147943225,10.527208592272066,6.9571295427086834
Arizona,3,1981,1,0,0,116.818428275286,16.49908523089386,10.432176294013155,6.9571295427086834
Arizona,3,1982,1,0,0,132.496903438383,20.889038724240976,11.782025085341704,6.9571295427086834
Arizona,3,1983,1,0,0,109.04791034823,12.125765969926368,11.47399555169276,6.9571295427086834
Arizona,3,1984,1,0,0,135.666770785958,20.304215275759315,12.27110877070886,6.9571295427086834
Arizona,3,1985,1,0,0,130.039035320383,16.646537692617745,12.874960732150743,6.9571295427086834
Arizona,3,1986,1,0,0,142.619140804026,21.876719831230048,12.313306689257587,6.9571295427086834
Arizona,3,1987,1,0,0,143.298394991858,19.851929658272475,15.337787044494524,6.9571295427086834
